comment,response
What is a computer?,A computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.
What is a super computer?,Computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers.
Who invented computers?,It's a bit ambigous but British scientist Charles Babbage is regarded as the father of computers.
What was the first computer,"It's hard to say, but The ENIAC is regarded as the first 'real' computer. It was developed at University of Pennsylvania in 1946."
What is a microprocessor?,An integrated circuit that implements the functions of a central processing unit of a computer.
What is an operating system?,"Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS."
Which is better Windows or macOS?,It depends on which machine you're using to talk to me!
Name some computer company,Do you mean hardware or software?
Who uses super computers?,Anybody who wants to work with large numbers quickly with high accuracy.
How does a computer work?,Computers are very dumb.  They only execute instructions given by humans.
